published,content,engagement,len
11/07/20 00:09,"โดน​ค่า ATS 14
  บาท​กับ​หุ้น​อยู่​เลย",0.0,38
11/07/20 00:51,"ถ้า​ตาม​นิยาม​นี้
  การ​ผูก​บัตร​เครดิต​กับ​แอ​พ ถือว่า​เป็นการ​เปลี่ยน instrument จาก card เป็น
  mobile banking (แม้​ว่า​จะ​เป็นการ​จ่าย​แบบ credit เหมือน​เดิม)
  ถูก​ต้อง​มั้ยครับ ?",0.0,184
11/07/20 01:30,"ไร้​เงินสด เครดิต​ก็​ไม่​มี
  หนี้​นอก​ระบบ​ดอก​ร้อย​ละ​ร้อย",0.0,60
11/07/20 01:34,"ถั่ว​ต้ม​เลย ไร้​เงินสด
  ไร้​ของ​จะ​กิน",0.0,40
11/07/20 03:30,อยากให้ลดข้อแม้ในการเข้าถึงแหล่งเงินทุนของสถาบันการเงินต่างๆ บ้าง หนี้เสียน่าจะลดลง คนเป็นหนี้ไม่มีความสุขในการเป็นหนี้หรอกครับเพียงแต่ยังไม่สามารถชำระได้ จะรวมหนี้มาจ่ายที่เดียวเพื่อจะได้มีกำลังจ่ายได้ก็ติดเรื่องคุณสมบัติโดยเฉพาะแบลคลิสต์อีก หนี้ก็เลยเป็นหนี้เสียอย่างทุกวันนี้,0.0,278
11/07/20 06:23,เห็น​ด้วย​ครับ,0.0,14
11/07/20 06:58,"เรื่อง​บัตร​เครดิต​คิด​ดอกเบี้ย​แพง
  เช่น เรา​เป็น​หนี้ 5000 ตัด​ยอด​จ่าย​4000 อีก​1000 จ่าย​รอบ​ถัด​ไป
  ทำไม​ต้อง​คิด​ดอกเบี้ย​ทั้ง​5000 ทำ​ไม่​คิด​ดอกเบี้ย แค่​1000 บาท​ที่​เหลือ
  #ธนาคารแห่งประเทศไทย",0.0,205
11/07/20 08:14,"บนโลกใบนี้ ทุกคนเกิดมา ไม่มีใครเอาเงินติดตัวมาด้วย เราทุกคน ทุกท่าน ทุกอาชีพ ทุกประเทศ ทุกพรรคการเมือง ทุกฝ่าย ต่างช่วยกันทำงาน เพื่อตัวเอง พอตัวเองมีเงิน มีรายได้ เป็นเรื่องปกติ ที่จะแบ่งปันให้คนอื่น สำหรับผม เรื่องการเงิน เป็นเรื่องที่ผมทำขึ้น เพื่อทุกคน ตั้งแต่มีระบบการเงินเกิดขึ้นครั้งแรก บนโลก หรือ อื่นๆ ผมได้สร้างระบบการเงินไว้ ให้ทุกคน  ทำงาน มีเงินมีรายได้ใช้จ่าย ไม่ได้สร้างระบบการเงินไว้ให้ ทุกคน เป็นหนี้ในระบบ นอกระบบ ผมเข้าใจ หลายคน หลายท่าน ไม่ชอบ ในสิ่งที่ผมทำ กลัวว่า คนมีเงินแล้วจะไม่ทำงาน ไม่ค้าขาย ไม่ผลิตสินค้า ผลิตสิ่งของ หรือ ไม่พัฒนาประเทศ หลายรัฐบาล หลายประเทศ มีโรงงานผลิตเงินผลิตธนบัตรถูกกฎหมาย ผมเห็น ผมสัมผัส ระบบการเงิน มาหลายระบบ การแก้ไขปัญหาหนี้สินในระบบ นอกระบบ ผมได้ แนะนำ แนวทางไว้ให้แล้ว ขึ้นอยู่กับทุกคน ตัวบุคคล รัฐบาล ผู้บริหาร เจ้าหน้าที่ ธนาคารสถาบันการเงิน ทุกแห่ง จะนำไปใช้ ไปปฏิบัติ ไม่กู้เงิน ไม่ขอสินเชื่อ ไม่ปล่อยสินเชื่อ ในระบบนอกระบบ ทุกคนไม่กู้เงิน ทำแบบนี้ไม่มีใครเป็นหนี้ในระบบนอกระบบ ทุกคนมีเงินมีรายได้ใช้จ่าย รวยทุกคน คนทุกคน เกิดมาร่างกายสมบูรณ์แข็งแรง เป็นคนดีทุกคน ทั้งชีวิต ทุกคน ไม่ทำร้ายตัวเอง ไม่ทำร้ายผู้อื่น ความคิด พฤติกรรม การกระทำ ทุกคนทำแบบนี้ได้ทั้งชีวิต ทุกคนมีความสงบสุข ทุกพื้นที่ มีความสงบสุข ทุกประเทศมีความสงบสุข ผมให้ทุกคน เป็นเจ้าของโรงงานผลิตเงิน ผลิตธนบัตรถูกกฎหมายทุกแห่ง เป็นเจ้าของระบบการเงินทุกระบบ ทำแบบนี้ไม่มีใครทุจริต ไม่มีใครเป็นหนี้ในระบบนอกระบบ ทุกคนมีเงินมีรายได้ใช้จ่าย รวยทุกคน รวยทุกประเทศ ธนาคารสถาบันการเงินโรงงานผลิตเงินผลิตธนบัตรถูกกฎหมายทุกแห่ง มีหน้าที่ผลิตเงินผลิตธนบัตรถูกกฎหมาย ให้ทุกคนมีเงินมีรายได้ใช้จ่าย มีเงินซื้อสินค้า มีเงินชำระภาษี มีเงินชำระหนี้ เป็นเรื่องปกติ แต่ที่ไม่ปกติ คือ ไม่อนุมัติเงิน ไม่จ่ายเงิน ให้ผม ให้ทุกคน เป็นเรื่องที่ผิดกฎหมาย ไม่ปกติ ขอความกรุณา ทุกท่าน ผู้บริหาร เจ้าหน้าที่ ธนาคาร สถาบันการเงิน โรงงานผลิตเงินผลิตธนบัตรถูกกฎหมายทุกแห่ง รัฐบาลทุกรัฐบาล ผู้บริหาร เจ้าหน้าที่ทุกคนทุกท่าน  อนุมัติเงินให้ผม อนุมัติเงินให้ทุกคนมีเงินมีรายได้ใช้จ่าย คนละ 500,000,000 บาท เข้าบัญชีทุกคน เพื่อใช้จ่าย ซื้อขายสินค้า ทำแบบนี้ เป็นเรื่องปกติ เป็นเรื่องถูกกฎหมาย ขอให้ทุกคน ทุกท่านเข้าใจ ระบบการเงิน การประหยัด การออกเงิน เป็นเรื่องที่ดี เรื่องที่ดีกว่า คือ การสร้างทรัพยากรธรรมชาติ สร้างทรัพย์สิน การพัฒนาที่ดินที่อยู่อาศัย แหล่งน้ำทำการเกษตร ปลูกต้นไม้ที่สามารถนำมา สร้างที่อยู่อาศัยได้ ต้นไม้ตัดปลูกทดแทนได้ ภูเขาสร้างปลูกทดแทนไม่ได้ การทำการเกษตร เป็นการสร้างทรัพยากรธรรมชาติ สร้างทรัพย์สิน ให้คน มนุษย์ สรรพสัตว์ มีอาหารรับประทาน มีที่ดินที่อยู่อาศัย ทุกคนทุกท่านเกิดมาเพื่อช่วยกันทำงาน ขอบคุณครับ โทร.0862221222 นายเมฆิน ศิริโสม",0.0,2457
11/07/20 08:43,"พอใช้​เงิน​ผ่าน​แอ​พ แต่​ดัน​ทะลึ่ง​ตรวจ​สอบ
  transaction ประชาชน",0.0,66
11/07/20 08:45,"ถ้า​เป็น​หนี้​นอก​ระบบ​ร่วม​ด้วย
  จะ​สามารถ​เข้า​ร่วม​โครงการ​ได้​ไหม​ค่ะ",0.0,74
11/07/20 10:27,บ้ตร​หลาย​ใบ กด​เงินสด เคติด,0.0,28
11/07/20 10:46,"สงสัย​ธ.กท
  บังคับ​ให้​คน​กู้​สร้าง​บ้าน​ทำ​ประกันภัย​ห้า​ปี​9500​บาท​ได้​ด้วย​หรือ",0.0,84
11/07/20 10:57,"ชีวิต​ป​ช​ช.ไทย​ส่วน​ใหญ่​ล้วน​คำนึง​ถึง​การ​ดำรง​ชีวิต
  หาเช้ากินค่ำ เช่น​ข้าว​กะเพรา​ประจำ​มื้อ มี​การ​ท่องเที่ยว​เป็น​แหล่ง​ทำ​เงิน
  ‼",0.0,139
11/07/20 10:57,ขอบคุณ​ครับ,0.0,11
11/07/20 11:13,เราไม่ใช้แอปการเงินทุกชนิด ตอนนี้ฟูดแพนด้าเคยสั่งอาหารจ่ายสดตอนรับอาหารตอนนี้ปฏิเสธไม่รับออเดอร์เพราะเราไม่ยอมจ่ายผ่านแอป เราก็ลบแอปออกไป ลาซาด้า ตอนนี้ก็ถูกบังคับให้ลูกค้าจ่ายผ่านแอป เราสั่งซื้อสินค้าไม่ได้ ก็ลบแอป ทุกอย่างจ่ายเงินสด ไม่ยอมอยู่ใต้อำนาจคนบงการ การใช้แอปจ่ายเงินต่างๆสะดวกจริง แต่เรากำลังเข้าไปอยู่ใต้อำนาจของผู้มีอำนาจ วันนึงถ้าเราขัดแย้งกับผู้มีอำนาจ ชีวิตเราอาจเหลือ 0 ทันที ถ้านึกไม่ออกลองดูหนังเรือง the enemy of state แล้วจะเข้าใจ,0.0,452
11/07/20 11:34,แค่​สังสัยม.33นี่​ไม่​ได้​ผลก​ระ​ทบ​เลย​หรือ​เงิน​ไป​ไหน​หมด​เขา​กะ​เดือดร้อน​กัน​ทั้งนั้น,0.0,90
11/07/20 12:15,"ตอน​นี้​ทำ​อะไร​ไม่​ได้
  ปล่อย​หมด​ค่ะ NPL ขอ​มี​กิน​เลี้ยง​พ่อ​แม่​ลูก​ก่อน​ค่ะ",0.0,81
11/07/20 12:25,แบ​ง​ค์ชาติ​ประกาศ​ลด​ดอกเบี้ย​บัตร​กด​เงินสด​และ​บัตร​เครดิต​แต่​ยัง​ไม่​มี​แบ​ง​ค์จะ​ลด​ให้​เลย,0.0,97
11/07/20 12:44,ให้​จ่าย​ขั้น​ต่ำ​5%​เหมือน​ยื้อ​ไม่​ให้​ลูกค้า​ติด​บูโรด​อก​บาน​งาน​นี้,0.0,72
11/07/20 14:53,"ขอร้องเรียนครับ

พบบ่อยจนเกินคำว่า หลงลืมหรือไม่เจตนาครับ มีการนำเหรียญ ๑ บาทขนาดใหญ่แบบเก่าซึ่งมีขนาดซ้อนทับกันได้สนิทกับเหรียญ ๕ บาทในสมัยปัจจุบัน มาใช้ในมูลค่า ๕ บาท

มีการใช้เหรียญ ๑ บาทขนาดใหญ่ของสมัยก่อนแทนเหรียญ ๕ บาท ท่านได้ที่ต้องรับและทอนเงินที่เป็นเศษสตางค์ขอให้ดูด้านข้างเหรียญ (มีสีทองแดง)  และ ค่าเงินที่เขียนอยู่ในเหรียญด้วย อย่าดูเผินๆเหรียญทั้งสองขนาดเท่ากันซ้อนทับกันสนิท ช่วงนี้ระบาดมาก

ผมนั่งรถตู้เค้าจะให้ตะกร้ามาใส่เงินเอง มีอยู่ครั้งนึงที่คนนับนับว่าเราใส่ไปแค่....๑ บาท ทั้งๆที่เราใส่ไป....๕ บาท นับเหรียญทุกวันแยกออกตลอดไม่เคยนำไปใช้เลยครับ แต่ตอนแรกคิดว่ามีคนเผลอเรอไม่ได้เจตนาเลยปล่อย ทีนีมันเยอะจนเกินคำว่า ไม่เจตนาแล้ว จัดว่า ระบาด ครับ  สำหรับคนแก่ตาไม่ดีอาจรับไปแล้วเอาไปใช้ต่อได้ง่าย และ ถ้าถูกจับได้จะหาว่าโกง ทั้งที่ไม่ได้โกงอะไรเลยครับ ถ้าไม่ดูที่มูลค่าเงินจะคล้ายกันมาก",0.0,806
11/07/20 15:51,"บาท ดิจิทัล นั้น แน่​นวล .กราบ​นมัสการ​พระ​พุทธ​บาท
  เทอญ.",0.0,59
11/07/20 21:00,"PromptPay : the Game Changer for Payments
.
ในช่วงการแพร่ระบาดของโควิด 19 ที่ทำให้พฤติกรรมของผู้บริโภคเปลี่ยนแปลงไป มีการเว้นระยะห่างทางกายภาพและออกจากบ้านน้อยลง แต่ PromptPay ทำให้เราสามารถโอนเงิน ชำระเงิน และจ่ายบิลต่าง ๆ ได้ทุกที่ทุกเวลา รวมทั้งสามารถเข้าถึงบริการทางการเงินได้สะดวกและปลอดภัย จนถือได้ว่าเป็น game changer ที่ปรับโฉมระบบการชำระเงินของไทย
.
ติดตามอ่านเรื่องราวของ PromptPay ได้ที่ BOT พระสยาม magazine ตามลิงค์นี้ครับ https://bit.ly/3egM0Mp

#แบงก์ชาติ #PromptPay #Payment #BOTMagazine",308.0,503
11/07/20 21:29,"Angsana Lertpusit มี FBlive
  ธนาคาร​แห่ง​ประเทศ​ไทย​สด​ครับ อย่า​พลาด​ชม​นะ​ครับ",0.0,81
11/07/20 21:33,"ธนาคาร​กลาง เมื่อ​ไร​จะ​ยกเครื่อง​ใหม่​หลักเกณฑ์​ราย​ได้​ขั้น​ต่ำ
  ลูกค้า​เดิม​ใน​การ​ขอ​สินเชื่อ การ​เพิ่ม​วงเงิน​ใน​ระบบ ชำระ​หนี้​ก็​ตรง​เวลา
  เครดิต​ส​กอร์ริ​ง​ก็​ผ่าน แต่​มา​ตาย​ตรง หลักเกณฑ์​วงเงิน​ไม่​เกิน​1.5​เท่า",0.0,223
12/07/20 16:10,"สอง​ปี​มา​นี้
  ดิฉั้น​ไม่​เคย​พก​เงิน​ติ​ว​ตัว​เลย​ค่ะ",0.0,55
12/07/20 17:43,ผมอาชีพอิสระขับวินมอเตอไชรับจ้าง ติดยูโรก้อเข้าร่วมโครงการคลีนิคแก้หนี้เสียแล้วแต่ก้อเหมือนเดิมขอสินเชื่อธนาคารก้อไม่ได้ทั้งทีโดนผลกระทบจากโรคระบาดโควิต19และผมกำลังเดือดร้อนกับภาระทีต้องมารับกับลูกๆทีต้องหาค่าเทอมค่าอุปกรการเรียนและของใช้ต่างๆขอสินเชื่อทีไหนก้อไม่ได้ทั้งทีอยู่ในโครงการคลีนิคแก้หนี้เสียนี่ดหรอทีบอกช่วยคนทีได้รับผลกระทบ,0.0,336
12/07/20 21:00,"ทำไมน้องไม่แต่งงาน?
.
หลายคนอาจคิดว่าทำไมคำถามนี้กลายเป็นประเด็นที่ได้รับความสนใจในปัจจุบัน บทความนี้จะทำให้เราเห็นความเชื่อมโยงของสัดส่วนผู้หญิงโสดที่มีแนวโน้มเพิ่มมากขึ้น ส่งผลไปยังอัตราการเกิดของประเทศที่ลดลงอย่างต่อเนื่องและกระทบต่อจำนวนกำลังแรงงานในอนาคต รวมถึงรัฐจะมีนโยบายใดบ้างในการแก้ปัญหาดังกล่าว
.
ติดตามอ่านฉบับเต็มนี้ได้ที่นี่ครับ https://bit.ly/32dpnWP

#แบงก์ชาติ #ทำไมน้องไม่แต่งงาน #BOTMagazine #พระสยาม",919.0,420
12/07/20 21:09,ของ​ปลอม​มี​เยอะ ไม่​แต่ง​ก็ได้,0.0,31
12/07/20 21:19,ไม่​แต่ง​เพราะ​หา​ดี​ไม่​ได้​หา​ได้​ไม่​ดี​ก็​อย่า​แต่งเล้ย,0.0,59
12/07/20 21:24,รอ​เจอ​คนใน​ฝัน​ค่ะ,0.0,19
12/07/20 21:31,"ระดับ​การ​ศึกษา หน้าที่​การ​งาน
  และ ราย​ได้ อาจ​มี​ผล​ต่อ​การ​ตัดสินใจ​กับ​การ​อยู่​เป็น​โสด หรือ แต่งงาน",0.0,107
12/07/20 21:31,"ไร้​เงินสด​
  ประชาชน​ไม่มี​กำลัง​ซื้อ",0.0,38
12/07/20 21:58,"ลอง​นโยบาย �ผู้​ปัน​สุข� ดู​ค่ะ
  หลาย​คน​ก็​อยาก​แต่ง แต่ supply มี​น้อย กว่า demand เลย​เจอ​ภาวะ​ขาดแคลน",0.0,106
12/07/20 22:15,"ส่วนตัวคิดว่า อัตราการเกิดที่ลดลง จะเป็นผลดีต่อประเทศเรา เนื่องจากสัดส่วนของประชากรที่เกิดมาส่วนใหญ่ เกิดจากการตั้งครรภ์อย่างไม่ได้ตั้งใจ บางคนไม่พร้อมที่จะเลี้ยงก็ทำให้คุณภาพของเด็กที่โตมาลดลงไปด้วย 

ถ้าอัตราการเกิดลดลง แต่ประชากรที่เกิดมามีคุณภาพพื้นฐานชีวิตที่ดีขึ้น มีการศึกษาที่ดี และเป็นอนาคตของชาติได้ มันก็ไม่ใช่เรื่องที่แย่ ผมว่าประเทศเราควรจะ depopulation ด้วยซ้ำ.",0.0,375
12/07/20 22:16,"ไป​ทำ​เศรษฐกิจ​ให้​มันดี​ใช้​นง​ใช้​หนี้​ก่อนมั้ย
  ค่อย​มา​ออก​นโยบาย​กระตุ้น​การ​แต่งงาน​มี​ลูก",0.0,97
12/07/20 22:22,"คิดแบบธุรกิจ ลดคน ใช้หุ่นยนต์ หรือ เครื่องจักรทดแทน = ลดค่าใช้จ่าย

แล้วเพิ่มจำนวนประชากรในอนาคตให้มีอัตราว่างงานเพิ่มขึ้น??

สมดุลอยู่ตรงไหนอ่ะ...",0.0,147
12/07/20 22:25,"เลี้ยง​ตัว​เอง​ได้​อย่าง​ดี​ ขอ​ใช้​ชีวิต​โสดแบบนี้ดีสุด​
  ถ้า​มี​แล้ว​เป็น​ภาระ​ ขอ​อยู่​แบบ​สวย​ๆ​รวยๆ​ไป​5555​",0.0,114
12/07/20 22:29,"จำนวน​คน​แต่งงาน​ไม่​ได้​สะท้อน​ว่า
  จะ​มี​ลูก​น้อย​ลง​นิ สมัย​นี้​คน​ท้อง​แต่​ไม่​แต่ง​มี​เยอะแยะ",0.0,99
12/07/20 22:29,ผู้หญิงที่มีรูปร่างหน้าตาไม่ค่อยเป็นที่นิยมหรือไม่ตรงตามความต้องการของตลาด เธอจึงหันไปพัฒนาอย่างอื่นให้กลายเป็นจุดเด่นแทนหรือเปล่าครับ อย่างเช่นมันสมอง แต่เธอกลับไม่รู้ว่าผู้ชายไม่ชอบผู้หญิงที่ฉลาดกว่าเขา ก๋เลยกลายเป็นเหมือนการถูกยัดเยียดความโสดให้มากกว่าโสดเพราะความจำเป็น แล้วยิ่งคนสวยๆไฮโซกว่าจะแต่งงานไม่รู้ว่าเคยผ่านมะเขือพวงมาไม่รู้เท่าไหร่(พยายามใช้ภาษาทีาอ่อนแอที่สุด ไม่อยากมีปัญหากับพวกเฟมินิสต์),0.0,406
12/07/20 22:37,"ลด​อัตรา​การ​เกิด???
  แล้ว​เด็ก​กำพร้า เด็ก​เร่ร่อน​มากมาย​ล่ะ ไม่​ไป​พัฒนา​ช่วยเหลือ
  ให้​เขา​เป็น​แรงงาน​คุณภาพ ดี​กว่า​มาส​น​ใจ​เรื่อง ผู้หญิง​โสด​ไหม​คะ
  เดือนร้อน​จัง คน​จะ​โสด​มี​ไร​มาก​ไหม?? งง",0.0,203
